"","gwf_country","p_early","annual_p"
"1","Canada",0.040080003,0.391517340120466
"2","Bahamas",0.012512785,0.143387418366757
"3","Jamaica",0.028153617,0.293553300867399
"4","Trinidad and Tobago",0.023461347,0.250657279954446
"5","Barbados",0.011617249,0.136062181156331
"6","Dominica",0.03003547,0.307192712971552
"7","Grenada",0.027616495,0.288007582108788
"8","St Lucia",0.014629472,0.164618893139201
"9","St Vincent",0.035371922,0.351667874802068
"10","Antigua and Barbuda",0.024328882,0.258047559146318
"11","St Kitts and Nevis",0.018477822,0.202631691167242
"12","Belize",0.038115967,0.373951033191246
"13","Guyana",0.017060094,0.188665627355913
"14","Suriname",0.019015204,0.20686078175255
"15","UKG",0.0209051,0.226486903328519
"16","Ireland",0.041721828,0.403344675583447
"17","Netherlands",0.046345647,0.435771780115478
"18","Belgium",0.023110468,0.246742420480602
"19","Luxembourg",0.0095831575,0.110398013615938
"20","Switzerland",0.025812695,0.0732549504154539
"21","Spain",0.04422434,0.423310637587956
"22","Andorra",0.032023653,0.324936043081508
"23","Germany",0.033498313,0.336610180349468
"24","Austria",0.024075132,0.259525257029922
"25","Hungary",0.030098561,0.30839687198236
"26","Czech Rep",0.017022744,0.191081749805869
"27","Slovakia",0.037540473,0.372079612929398
"28","Italy",0.021625636,0.236536875332111
"29","Malta",0.018504497,0.203018912143166
"30","Albania",0.032896522,0.332821104835525
"31","Montenegro",0.037259873,0.368281696363145
"32","Macedonia",0.047576621,0.447626773188098
"33","Croatia",0.034422848,0.347096622219158
"34","Serbia",0.056722835,0.507932886183302
"35","Kosovo",0.027476113,0.2907214036667
"36","Slovenia",0.03176704,0.326209631925419
"37","Greece",0.046011645,0.435478856829752
"38","Bulgaria",0.036752202,0.368552088231017
"39","Moldova",0.055364165,0.497798585327745
"40","Romania",0.029939393,0.308538020425615
"41","Estonia",0.031771973,0.323323534142047
"42","Latvia",0.024441449,0.0895052565362846
"43","Lithuania",0.02472166,0.260344152565742
"44","Armenia",0.045210235,0.442956107626547
"45","Georgia",0.0000000000011831213,0.0000000000146200829220788
"46","Finland",0.010418567,0.225205340947114
"47","Sweden",0.016619058,0.183950798479811
"48","Norway",0.02285465,0.244079254207321
"49","Denmark",0.047564432,0.446253965374961
"50","Iceland",0.020991715,0.231280940910026
"51","Cape Verde",0.008721685,0.101409968470112
"52","Sao Tome and Principe",0.0068800319,0.0810412742433694
"53","South Africa",0.0089478446,0.103420829985374
"54","Lesotho",0.016499724,0.185690119707698
"55","Mauritius",0.022146089,0.238411595249856
"56","Iraq",0.010653239,0.107261543142397
"57","Lebanon",0.0051015243,0.062421419789469
"58","Israel",0.042066116,0.364770951466271
"59","Japan",0.050095063,0.462527170616971
"60","India",0.029354878,0.198353670692761
"61","Bhutan",0.00000000000025240297,0.0000000000039558356590419
"62","Pakistan",0.020657644,0.155699091930982
"63","Bangladesh",0.021714434,0.204531493827418
"64","Nepal",0.02683023,0.285780051767274
"65","Malaysia",0.000000000001524084,0.0000000000219196882866868
"66","Australia",0.031741761,0.323510565305565
"67","Papua New Guinea",0.021911014,0.234416238510866
"68","New Zealand",0.013207238,0.151369638658688
"69","Vanuatu",0.021292619,0.230487101686422
"70","Tuvalu",0.034109037,0.343523797964735
"71","Nauru",0.022155534,0.237633548787371
"72","Micronesia",0.012147228,0.206134968187753
"73","Samoa",0.031374909,0.318369047244676
