,country,dates,elecViolence1,prediction,p_rank,vio2
2319,Kazakhstan,6/9/2019,NA,0.295032066,0.571428571,peace
2320,Guatemala,6/16/2019,NA,0.344130901,0.642857143,peace
2321,Guatemala,6/16/2019,NA,0.344130901,0.642857143,peace
2322,Mauritania,6/22/2019,NA,0.477222264,0.742857143,peace
2323,Mali,6/30/2019,NA,0.848787475,1,vio
2324,Greece,7/7/2019,NA,0.029361297,0.2,peace
2325,Ukraine,7/21/2019,NA,0.0800784,0.371428571,peace
2326,Japan,7/28/2019,NA,0.048244064,0.285714286,peace
2327,Madagascar,7/31/2019,NA,0.653460637,0.771428571,vio
2328,Israel,9/17/2019,NA,0.03551548,0.257142857,peace
2329,Afghanistan,9/28/2019,NA,0.824584203,0.971428571,vio
2330,Austria,9/30/2019,NA,0.016142708,0.057142857,peace
2331,Portugal,10/6/2019,NA,0.021336672,0.114285714,peace
2332,Tunisia,10/6/2019,NA,0.402544778,0.714285714,peace
2333,Mozambique,10/15/2019,NA,0.754577241,0.9,vio
2334,Mozambique,10/15/2019,NA,0.754577241,0.9,vio
2335,Papua New Guinea,10/17/2019,NA,0.803130551,0.942857143,vio
2336,Switzerland,10/20/2019,NA,0.015822969,0.028571429,peace
2337,Canada,10/21/2019,NA,0.018615756,0.085714286,peace
2338,Bolivia,10/27/2019,NA,0.08711068,0.428571429,peace
2339,Argentina,10/27/2019,NA,0.058952143,0.328571429,peace
2340,Argentina,10/27/2019,NA,0.058952143,0.328571429,peace
2341,Haiti,10/27/2019,NA,0.711006104,0.828571429,vio
2342,Uruguay,10/31/2019,NA,0.021549962,0.157142857,peace
2343,Uruguay,10/31/2019,NA,0.021549962,0.157142857,peace
2344,Cameroon,10/31/2019,NA,0.725727065,0.857142857,vio
2345,Botswana,10/31/2019,NA,0.207020463,0.514285714,peace
2346,Guinea-Bissau,11/3/2019,NA,0.182213183,0.485714286,peace
2347,Poland,11/11/2019,NA,0.029947993,0.228571429,peace
2348,Belarus,11/17/2019,NA,0.304180676,0.6,peace
2349,Tunisia,11/17/2019,NA,0.381446345,0.685714286,peace
2350,Namibia,11/27/2019,NA,0.284472274,0.542857143,peace
2351,Guyana,11/30/2019,NA,0.086369319,0.4,peace
2352,Sri Lanka,12/9/2019,NA,0.673276781,0.8,vio
2353,Mauritius,12/31/2019,NA,0.149384182,0.457142857,peace
