"","country","dates","elecViolence1","prediction","p_rank","vio2"
"2331","Tunisia",2019-09-15,NA,0.306217614950801,0.714285714285714,"peace"
"2335","Israel",2019-09-17,NA,0.0488449259097208,0.464285714285714,"peace"
"2336","Afghanistan",2019-09-28,NA,0.838519779068629,1,"vio"
"2295","Austria",2019-09-29,NA,0.0139782623070982,0.0714285714285714,"peace"
"2293","Portugal",2019-10-06,NA,0.0172662245967585,0.214285714285714,"peace"
"2294","Poland",2019-10-13,NA,0.0227196633028491,0.25,"peace"
"2320","Mozambique",2019-10-15,NA,0.700067694847769,0.875,"vio"
"2321","Mozambique",2019-10-15,NA,0.700067694847769,0.875,"vio"
"2284","Bolivia",2019-10-20,NA,0.0888295035807382,0.5,"peace"
"2291","Switzerland",2019-10-20,NA,0.0137898256114805,0.0357142857142857,"peace"
"2289","Canada",2019-10-21,NA,0.0151072582810617,0.107142857142857,"peace"
"2285","Argentina",2019-10-27,NA,0.0392568806504752,0.410714285714286,"peace"
"2286","Argentina",2019-10-27,NA,0.0392568806504752,0.410714285714286,"peace"
"2287","Uruguay",2019-10-27,NA,0.0157927251024782,0.160714285714286,"peace"
"2288","Uruguay",2019-10-27,NA,0.0157927251024782,0.160714285714286,"peace"
"2313","Haiti",2019-10-27,NA,0.646309370477548,0.821428571428571,"vio"
"2317","Cameroon",2019-10-31,NA,0.795766943837224,0.964285714285714,"vio"
"2327","Botswana",2019-10-31,NA,0.304341016505395,0.678571428571429,"peace"
"2283","Guyana",2019-11-01,NA,0.0369992840086213,0.357142857142857,"peace"
"2311","Guinea-Bissau",2019-11-03,NA,0.0971624830103263,0.535714285714286,"peace"
"2306","Belarus",2019-11-17,NA,0.357219550769736,0.785714285714286,"peace"
"2332","Tunisia",2019-11-17,NA,0.345339942591187,0.75,"peace"
"2326","Namibia",2019-11-27,NA,0.293919034709623,0.642857142857143,"peace"
"2342","Sri Lanka",2019-12-07,NA,0.718074844435179,0.928571428571429,"vio"
"2296","Croatia",2019-12-31,NA,0.0271736031519557,0.285714285714286,"peace"
"2300","Romania",2019-12-31,NA,0.028393728760484,0.321428571428571,"peace"
"2330","Mauritius",2019-12-31,NA,0.110446565418138,0.571428571428571,"peace"
"2337","Uzbekistan",2019-12-31,NA,0.168715819042347,0.607142857142857,"peace"
